city,ota_hotel_id,master_id,name,name_en,address,url,rooms_number
Байкальск,grand_baikal,8481257,Отель Гранд Байкал,Grand Bajkal Hotel,"мкр. Красный Ключ, 91, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid8481257/grand_baikal,64
Братск,taiga_2,6923154,Отель Taiga,Taiga Hotel,"улица Мира, дом 35, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid6923154/taiga_2,101
Иркутск,yakovlev_hotel,8742012,Отель Яковлевъ,Yakovlev` Hotel,"улица Тимирязева, д.9, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8742012/yakovlev_hotel,25
Иркутск,victory_hotel_4,8457230,Гостиница Виктория,Viktoriya Hotel,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4,30
Иркутск,evropa_hotel,7828771,Отель Европа,Evropa Hotel,"улица Байкальская, д.69, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel,58
Байкальск,beliy_sobol_parkhotel,8571122,Парк-отель Белый Соболь,Beliy Sobol Park-Hotel,"мкрн. Красный Ключ, д.93, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid8571122/beliy_sobol_parkhotel,32
Никола,hotel_nikola_2,8748287,Отель Никола,Nikola Hotel,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",https://ostrovok.ru/hotel/russia/irkutsk/mid8748287/hotel_nikola_2,27
Хужир,hotel_khotej,13330760,Отель Хотэй,Khotej Hotel,"Ольхонская улица, 10, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid13330760/hotel_khotej,25
Иркутск,empire_hotel_3,7829344,Гостиница Империя,Empire Hotel,"ул. Польских Повстанцев, 1Б, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7829344/empire_hotel_3,49
Листвянка,bajkal_hotel,7965294,Отель Байкал,Hotel Baykal,"Академическая улица, 13, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid7965294/bajkal_hotel,72
Байкальск,sobolinka_parkhotel_2,9761022,Парк-отель Соболинка,Sobolinka Park-Hotel,"квартал Красный Ключ, д.90, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid9761022/sobolinka_parkhotel_2,38
Иркутск,rus_hotel_irkutsk,7774831,Гостиничный Комплекс Русь,Rus Hotel,"улица Свердлова, д.19, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7774831/rus_hotel_irkutsk,56
Листвянка,vera_baikal,13308776,Отель Вера Байкал,Vera Baykal Hotel,"улица Горького, 8, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid13308776/vera_baikal,38
Иркутск,tajga_hotel,9767827,Отель Тайга,Tajga Hotel,"улица Сурикова, д.4в, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9767827/tajga_hotel,44
