merged_id,city,name,address,ostrovok_free_rooms,tvil_free_rooms,min_free_rooms,avg_free_rooms,max_free_rooms,occupancy_percent,ostrovok_capacity,tvil_capacity
1,Иркутск,Гостиничный Комплекс Русь,"улица Свердлова, д.19, Иркутск",35,7,7,21.00,35,37.50,60,15
2,Иркутск,Отель Доходный дом Листратовой,"Подгорная улица, д.16, Иркутск",12,10,10,11.00,12,73.34,19,18
3,Иркутск,Отель Яковлевъ,"улица Тимирязева, д.9, Иркутск",,0,0,0.00,0,0.00,,0
4,Иркутск,Отель Nuur Hotel,"улица Карла Либкнехта, д. 85, Иркутск",16,8,8,12.00,16,42.86,31,22
5,Иркутск,Отель Иркут,"улица Пролетарская, д.7, Иркутск",18,8,8,13.00,18,43.34,34,15
6,Иркутск,Ангара Отель,"улица Сухэ-Батора, д.7, Иркутск",108,14,14,61.00,108,20.34,185,24
7,Иркутск,Гостиница 7 дорог,"улица Ядринцева, д. 88, Иркутск",8,8,8,8.00,8,42.11,15,32
8,Иркутск,Отель Матрешка,"Улица Софьи Перовской, д.31/1, Иркутск",47,10,10,28.50,47,81.43,83,20
9,Иркутск,Отель Амурский,"улица Ленина, д.34, Иркутск",11,0,0,5.50,11,32.35,22,0
10,Иркутск,Отель Азия-Европа,"улица Ядринцева, 1/7, Иркутск",8,7,7,7.50,8,39.48,16,14
11,Иркутск,Отель Аристократ,"улица Ленина, д.9, Иркутск",,4,4,4.00,4,33.33,,7
12,Иркутск,Отель Михаил Строгов,"улица Депутатская, д. 36, Иркутск",10,9,9,9.50,10,46.43,17,16
13,Листвянка,Отель Маяк,"улица Горького, дом 85а, Листвянка",50,7,7,28.50,50,50.96,94,13
14,Иркутск,Отель Baikal Forest,"улица Советская, д.58/1, Иркутск",215,8,8,111.50,215,74.17,449,22
15,Иркутск,Отель Купеческий Дворъ,"улица Седова, д.10, Иркутск",13,8,8,10.50,13,75.00,26,24
16,Хужир,Baikal View Hotel,"улица Российская, д. 17, Хужир",58,2,2,30.00,58,30.31,120,4
17,Хужир,Отель Байкал-Хан Ольхон,"улица Ворошилова, д. 18, Хужир",,,,,,,,
18,Иркутск,Отель Armat,"улица Ширямова, д.33, Иркутск",70,8,8,39.00,70,97.50,140,17
19,Иркутск,Гостиница Атлас,"проезд Атласова, д.9, Иркутск",3,3,3,3.00,3,10.53,5,8
20,Иркутск,Отель на Звездинской,"Улица Звездинская, д. 5/1, Иркутск",33,6,6,19.50,33,76.00,71,12
21,Иркутск,Гостиница Лазурный берег,"Байкальская улица, д. 252Б, Иркутск",9,3,3,6.00,9,9.20,17,6
22,Хужир,Отель Байкальский лес (BaikalWood Hotel&SPA),"улица Светлая, д.5, Хужир",0,5,0,2.50,5,8.62,0,13
23,Иркутск,Гостиница Юбилейная,"микрорайон Юбилейный, д. 118, Иркутск",16,7,7,11.50,16,50.00,29,12
24,Иркутск,Отель Байкал - Северное Море,"Улица Дальневосточная, д.156, Иркутск",84,14,14,49.00,84,41.13,137,34
25,Листвянка,Отель Даурия,"улица Куликова, д.44, Листвянка",0,2,0,1.00,2,6.67,0,4
26,Ангарск,Отель Ангара-Приоритет,"Квартал Б, д.13, Ангарск",8,3,3,5.50,8,17.74,16,6
27,Хужир,Семейный отель Дача БайкалЭко,"улица Лесная, д. 32, Хужир",,,,,,,,
28,Нижнеудинск,Октябрьская,"улица Октябрьская, д.1 Б, Нижнеудинск",7,3,3,5.00,7,30.00,12,5
29,Иркутск,Отель Тайга,"улица Сурикова, д.4в, Иркутск",32,6,6,19.00,32,43.19,74,14
30,Братск,Клубный Квартал,"бульвар Победы, д.30, Братск",4,4,4,4.00,4,7.15,4,8
31,Иркутск,Отель North Star,"улица Седова, 4, Иркутск",,,,,,,,
32,Иркутск,Отель Байкал Бизнес Центр,"улица Байкальская, д.279, Иркутск",8,7,7,7.50,8,12.71,15,15
33,Иркутск,Гостиница Альпари,"микрорайон Приморский, д.24 А, Иркутск",7,4,4,5.50,7,55.00,14,10
34,Черемхово,Shelest,"улица Марата, д. 109, Черемхово",6,3,3,4.50,6,18.75,12,6
35,Байкальск,Отель Космос,"Гагарина микрорайон, 2а, Байкальск",,,,,,,,
36,Байкальск,Парк-отель Соболинка,"квартал Красный Ключ, д.90, Байкальск",2,2,2,2.00,2,5.66,2,4
37,Бурдугуз,Парк-Отель Бурдугуз,"улица Лесная, д.1, Бурдугуз",12,5,5,8.50,12,12.32,24,15
38,Листвянка,Отель Подлеморье,"улица Горького, д.31Б, Листвянка",8,4,4,6.00,8,42.86,16,8
39,Иркутск,Отель Лотос,"Байкальская улица, д.14 Б, Иркутск",11,8,8,9.50,11,42.97,24,16
40,Иркутск,Отель Звезда,"улица Ядринцева, д. 1Ж, Иркутск",76,6,6,41.00,76,63.15,152,14
41,Братск,Отель Белый берег,"ул. Курчатова 65, Братск, Братск",4,4,4,4.00,4,80.00,10,16
42,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",6,,6,6.00,6,9.38,12,
43,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",0,0,0,0.00,0,0.00,0,0
44,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",,,,,,,,
45,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",21,,21,21.00,21,70.00,42,
46,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",45,,45,45.00,45,118.42,90,
47,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",44,,44,44.00,44,34.38,87,
48,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",,,,,,,,
49,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",,,,,,,,
50,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",33,,33,33.00,33,56.90,53,
51,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",149,,149,149.00,149,72.33,298,
52,Иркутск,Гостиница Империя,"ул. Польских Повстанцев, 1Б, Иркутск",10,,10,10.00,10,20.41,17,
53,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",6,,6,6.00,6,100.00,13,
54,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",4,,4,4.00,4,0.00,10,
55,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",64,,64,64.00,64,64.00,128,
56,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",28,,28,28.00,28,38.89,54,
57,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",37,,37,37.00,37,80.43,74,
58,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",11,,11,11.00,11,61.11,22,
59,Листвянка,Байкалия,"Горная улица, 15, Листвянка",5,,5,5.00,5,0.00,15,
60,Никола,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",38,,38,38.00,38,140.74,76,
61,Иркутск,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",18,,18,18.00,18,72.00,38,
62,Иркутск,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",4,,4,4.00,4,50.00,7,
63,Иркутск,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",3,,3,3.00,3,0.00,6,
64,Иркутск,Отель ДиаДэй,"улица Профсоюзная, д. 10/2, Иркутск",5,,5,5.00,5,55.56,11,
65,Усть-Илимск,Усть-Илим,"пр-т Дружбы Народов, д. 2, Усть-Илимск",40,,40,40.00,40,50.00,45,
66,Иркутск,Отель Арена Иркутск,"ул. Желябова, 8А, Иркутск",17,,17,17.00,17,113.33,33,
67,Байкальск,Отель Куршавель,"микрорайон Южный, 1-й квартал, д.6, Байкальск",12,,12,12.00,12,80.00,25,
68,Листвянка,Отель Ундина,"Ulitsa Kulikova,6, Листвянка",0,,0,0.00,0,0.00,0,
69,Иркутск,Меблированные комнаты City Park,"улица Красных Мадьяр, 29, Иркутск",8,,8,8.00,8,0.00,8,
70,Хужир,Отель Хотэй,"Ольхонская улица, 10, Хужир",0,,0,0.00,0,0.00,0,
71,Иркутск,Жилое помещение Союз,"проезд Юрия Тена, д.12/4, Иркутск",57,,57,57.00,57,67.86,114,
72,Иркутск,Меблированные комнаты Дом Байкал,"улица Лапина, д. 14, Иркутск",18,,18,18.00,18,120.00,52,
73,Листвянка,Меблированные комнаты Байкал,"улица Горная, д. 8А, Листвянка",17,,17,17.00,17,0.00,24,
74,Листвянка,Сердце Байкала,"улица Островского, 39, Листвянка",4,,4,4.00,4,0.00,6,
75,Иркутск,Меблированные комнаты Montana,"улица Карла Либкнехта, д.6, Иркутск",11,,11,11.00,11,122.22,12,
76,Большое Голоустное,Меблированные комнаты Медведица,"улица Кирова,д. 132а, Большое Голоустное",6,,6,6.00,6,0.00,11,
77,Хужир,Отель Гостиница ЛАДА,"улица Таёжная, д.30, Хужир",0,,0,0.00,0,0.00,0,
78,Хужир,Загородный отель Шамбала,"ул Северная, з/у 12А, Хужир",10,,10,10.00,10,100.00,20,
79,Листвянка,Отель Ларч,"ул. Гудина, 22А, Листвянка",15,,15,15.00,15,83.33,36,
80,Хужир,Меблированные комнаты Баргузин,"улица Ворошилова, д.23А, Хужир",4,,4,4.00,4,0.00,4,
81,Иркутск,Отель Централь,"переулок Богданова 8, Иркутск",29,,29,29.00,29,60.42,58,
82,Листвянка,Байкальские просторы,"улица Чапаева, д. 41, Листвянка",7,,7,7.00,7,87.50,16,
83,Листвянка,Отель Легенда Байкала,"Улица Исток Ангары, д.11, Листвянка",11,,11,11.00,11,31.43,20,
84,Иркутск,Отель Baikal Archi Apt,"ул Некрасова, стр. 3а, помещ. 2, Иркутск",5,,5,5.00,5,71.43,10,
85,Листвянка,Меблированные комнаты Лесс,"улица Куликова, д. 102а, Листвянка",6,,6,6.00,6,0.00,12,
86,Иркутск,Гостиница Визит,"ул Софьи Перовской, стр. 30, помещ. 4, Иркутск",5,,5,5.00,5,62.50,11,
87,Листвянка,Курортный отель Парус,"улица Горького, д.93А, Листвянка",0,,0,0.00,0,0.00,0,
88,Листвянка,Малиновка,"улица Суворова, д. 5а, Листвянка",0,,0,0.00,0,0.00,0,
89,Иркутск,Отель RODINA Grand Hotel & SPA Irkutsk 5*,"ул. Николая Гаврилова, стр. 2, Иркутск",35,,35,35.00,35,44.30,70,
90,Иркутск,Отель Иркутск Сити Лодж,"ул Байкальская, д. 124/3, Иркутск",0,,0,0.00,0,0.00,0,
91,Иркутск,Отель Веста,"улица Сурнова, д.30/1, Иркутск",19,,19,19.00,19,70.37,41,
92,Листвянка,Алания,"улица Суворова, д.5В, Листвянка",12,,12,12.00,12,0.00,33,
93,Иркутск,Отель Рояль,"улица Декабрьских событий, д. 31, Иркутск",0,,0,0.00,0,0.00,0,
94,Хужир,Конкордия,"улица Народная, д.15, поселок Хужир, Хужир",8,,8,8.00,8,100.00,12,
95,Байкальск,Парк-отель Белый Соболь,"мкрн. Красный Ключ, д.93, Байкальск",,,,,,,,
96,Иркутск,Отель В Сердце Иркутска,"Киевская улица, д.34А, Иркутск",11,,11,11.00,11,183.33,24,
97,Листвянка,Гостиница Крестовая падь,"ул. Горная, 14-А, Листвянка",0,,0,0.00,0,0.00,0,
98,Бугульдейка,Байкал-кэмп,"Россия, Иркутская область,  Бугульдейка, ул. Пушкина, д. 15, Бугульдейка",1,,1,1.00,1,0.00,4,
99,Иркутск,Отель Динамо,"улица Баррикад, д.42, Иркутск",23,,23,23.00,23,58.97,43,
100,Листвянка,Меблированные комнаты Ёлочка,"улица Чапаева, д.8, Листвянка",9,,9,9.00,9,150.00,18,
101,Листвянка,Отель Созвездие Байкала,"Улица Партизанская, д.14, Листвянка",13,,13,13.00,13,59.09,26,
102,Листвянка,Меблированные комнаты БРИЗ,"улица Гудина,71, Листвянка",,,,,,,,
103,Листвянка,Байкал Шале,"улица Гудина, д.75, Листвянка",6,,6,6.00,6,54.55,15,
104,Байкальск,Baikal Best Edelweiss,"микрорайон Красный ключ, д.66, Байкальск",0,,0,0.00,0,0.00,0,
105,Иркутск,Грин Отель,"улица Лыткина, д. 32, Иркутск",19,,19,19.00,19,86.36,38,
106,Листвянка,Байкал 51,"Иркутский муниципальный округ, Байкальский тракт, 51-й километр, 3, Листвянка",1,,1,1.00,1,0.00,1,
107,Тулун,Спорткомплекс Озерный Тулун на Карбышева 185,"улица Карбышева, д.185, Тулун",2,,2,2.00,2,0.00,4,
108,Иркутск,Меблированные комнаты Брусника,"Улица Гоголя, д.61, Иркутск",2,,2,2.00,2,66.67,4,
109,Нижнеудинск,Отель УДА,"улица Ленина, д.1, Нижнеудинск",36,,36,36.00,36,80.00,54,
110,Жигалово,Отель  Ленатур,"улица Советская, д.26, Жигалово",5,,5,5.00,5,62.50,12,
111,Хужир,Отель Отдых на Байкале,"улица Горького, 3А, Хужир",0,,0,0.00,0,0.00,0,
112,Листвянка,Отель Dream of Baikal,"улица Горького, д.105, Листвянка",0,,0,0.00,0,0.00,0,
113,Нижнеудинск,Отель Люкс,"улица Просвещения, д. 17, Нижнеудинск",15,,15,15.00,15,100.00,18,
114,Иркутск,Отель Гостиница Академическая,"улица Лермонтова, д. 271А, Иркутск",32,,32,32.00,32,66.67,41,
115,Иркутск,Гостиница Солнце,"улица Байкальская, д.295 Б, Иркутск",17,,17,17.00,17,29.31,26,
116,Братск,Отель Три Кита,"Депутатская улица, д. 3а, Братск",6,,6,6.00,6,60.00,13,
117,Братск,Гостиница Восточная,"улица Железнодорожная, 1, Братск",0,,0,0.00,0,0.00,0,
118,Листвянка,Отель Натали,"улица Чапаева, д.91, Листвянка",5,,5,5.00,5,41.67,9,
119,Хужир,У Лукоморья,"посёлок Хужир,Песчаная улица, д.5, Хужир",0,,0,0.00,0,0.00,0,
120,Хужир,Меблированные комнаты Аура,"Иркутская улица, д.23, Хужир",0,,0,0.00,0,0.00,0,
121,Хужир,Olkhon Family House,"улица Рабочая, д.2, Хужир",0,,0,0.00,0,0.00,0,
122,Никола,Отель ГК Анастасия,"улица Ангарская, 8/2, Никола",31,,31,31.00,31,119.23,57,
123,Ангарск,Отель Меридиан,"26 квартал, дом 10, Ангарск",9,,9,9.00,9,27.27,18,
124,Ангарск,Олимпиада,"ул. Чайковского, д.48, Ангарск",14,,14,14.00,14,48.28,17,
125,Хужир,Отель Звезда Кочевника,"Пляжная улица, д.20, Хужир",82,,82,82.00,82,0.00,180,
126,Иркутск,Отель Smart Hotel Иркутск,"улица Челнокова, д.1, Иркутск",1,,1,1.00,1,14.29,1,
127,Хужир,Forest Home,"улица Мира, 14, Хужир",,,,,,,,
128,Никола,Отель Флагман,"поселок Никола, улица Нагорная, д.41, Никола",4,,4,4.00,4,40.00,8,
129,Ангарск,Отель ПушкинЪ,"улица Мира, д. 18, Ангарск",22,,22,22.00,22,95.65,44,
130,Большое Голоустное,Momant house,"улица Харануты, д. 19В, Большое Голоустное",0,,0,0.00,0,0.00,0,
131,Молодёжный,Отель Пекин,"п. Молодежный, улица Кузнецовой, д.11, Молодёжный",73,,73,73.00,73,84.88,73,
132,Хужир,Арт-отель Порт Ольхон,"ул. Байкальская, 2, Хужир",0,,0,0.00,0,0.00,0,
133,Слюдянка,"Отель ""Тихая Гавань""","улица 40 лет Октября, 56, Слюдянка",3,,3,3.00,3,25.00,7,
134,Иркутск,Гостиница на Волжской,"ул. Волжская, д. 14А, Иркутск",15,,15,15.00,15,50.00,41,
135,Иркутск,Юпитер,"Россия, Иркутская область, Иркутск, ул. Шевцова, д. 35, Иркутск",3,,3,3.00,3,13.04,6,
136,Братск,Отель ШВЕДКА,"ул. Мира, д. 25, Братск, Братск",3,,3,3.00,3,10.34,3,
137,Листвянка,Гостевой дом Мелодия Байкала,"Листвянское муниципальное образование, посёлок Никола, Листвянка",1,,1,1.00,1,0.00,2,
138,Утулик,Меблированные комнаты Шишки,"п. Утулик, ул. Ленская, д.17, Утулик",0,,0,0.00,0,0.00,0,
139,Иркутск,Отель HISTORY Бутик-отель и СПА,"улица 3 Июля, д.26, Иркутск",32,,32,32.00,32,80.00,64,
140,Шелехов,Отель Катанца,"Центральный проспект, д.7, Шелехов",0,,0,0.00,0,0.00,0,
141,Иркутск,Гостиница Комфорт,"улица Трилиссера, д.57 помещ.1, Иркутск",0,,0,0.00,0,0.00,0,
142,Байкальск,Гостевой дом Chilla_villa_baikal,"1-я Байкальская улица, 26, Байкальск",,,,,,,,
143,Железногорск-Илимский,Отель Магнетит,"Квартал, 2, д. 72, Железногорск-Илимский",34,,34,34.00,34,61.82,49,
144,Саянск,Отель Прасковья,"микрорайон Юбилейный, д.13, Саянск",2,,2,2.00,2,16.67,3,
145,Листвянка,Отель Парк Байкальские сезоны,"Иркутская Область, м.р-н Иркутский, г.п. Листвянское, п Ангарские Хутора, ул Прибрежная, зд. 5а, Листвянка",21,,21,21.00,21,95.45,41,
146,Байкальск,Отель Маргобай,"мкр. Строитель, пер. Берёзовый, д. 9, Байкальск",18,,18,18.00,18,128.57,24,
147,Листвянка,Гостиница Прибайкальская,"62 км. Байкальского Тракта, Листвянка",7,,7,7.00,7,8.05,13,
148,Усть-Кут,Отель Глория,"ул Л.Толстого, д. 36, Усть-Кут",1,,1,1.00,1,7.14,1,
149,Иркутск,Сатурн,"Россия, 664002, Иркутская область, Иркутск, ул. Красный путь, д. 77, Иркутск",,,,,,,,
150,Култук,Trakstop 38,"Komsomol'skaja 23/3, Култук",1,,1,1.00,1,9.09,1,
151,Куркут,Отель Мир Байкала,"село Сахюрта, бухта Базарная, Куркут",,,,,,,,
152,Иркутск,Планета,"ул. Розы Люксембург, 144, Иркутск",10,,10,10.00,10,30.30,20,
153,Иркутск,Байкал Капсул (Байкальская капсула),"Россия, Иркутская область, Иркутск, ул. Трилиссера, д. 141в, Иркутск",8,,8,8.00,8,0.00,8,
154,Иркутск,Витим,"Россия, Иркутская область, Иркутск, ул. Терешковой, д. 2а, Иркутск",5,,5,5.00,5,0.00,8,
155,Усть-ордынский,Отель Метелица,"Иркутская обл, Усть-Ордынский, 68-км автотрассы Иркутск-Качуг, Усть-ордынский",4,,4,4.00,4,80.00,8,
156,Иркутск,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,"ул. Пискунова, 142/5, Иркутск",2,,2,2.00,2,0.00,2,
157,Бугульдейка,Гостевой дом ISIGER BAIKAL,"Байкальская ул. 18, Бугульдейка",0,,0,0.00,0,0.00,0,
158,Куркут,"Мандархан, о.Байкал","Иркутская область, Ольхонский район, Шара-Тоготское муниципальное  образование, д. Куркут, территория местность Мандархан, Куркут",1,,1,1.00,1,0.00,1,
159,Бурдугуз,Hygge Barn,"Нижняя набережная 5, Бурдугуз",1,,1,1.00,1,0.00,1,
160,Солзан,Меблированные комнаты на Горной Улице 7Б,"улица Горная, д. 7Б, Солзан",,,,,,,,
161,Железногорск-Илимский,Отель Изумруд,"7-й квартал, д.20, Железногорск-Илимский",8,,8,8.00,8,88.89,8,
162,Большое Голоустное,Для компании,"улица Кирова, д.2Б, Большое Голоустное",1,,1,1.00,1,0.00,1,
163,Железногорск-Илимский,Отель Комильфо,"улица Иващенко, д.20, Железногорск-Илимский",6,,6,6.00,6,50.00,6,
164,Большая Речка,Loft House 38,"51.947037, 104.753515, Большая Речка",0,,0,0.00,0,0.00,0,
165,Иркутск,Гостиница Альбатрос,"улица Ширямова, стр.15б/1, Иркутск",12,,12,12.00,12,100.00,28,
166,Иркутск,Отель Маркс,"улица Карла Маркса, д.15 А, Иркутск",,,,,,,,
167,Братск,Отель Taiga,"улица Мира, дом 35, Братск",50,,50,50.00,50,49.50,95,
168,Хужир,Отель Флагман Ольхона,"улица Молодёжная, д.1, Хужир",,,,,,,,
169,Иркутск,Гостиница Riverside,"улица Байкальская, д.234 В/7, Иркутск",3,,3,3.00,3,37.50,6,
170,Тулун,Спорткомплекс Озерный Тулун,"улица Карбышева, д.185, Тулун",1,,1,1.00,1,0.00,1,
171,Братск,Времена Года,"Улица Подбельского 12, Братск",0,,0,0.00,0,0.00,0,
172,Братск,Отель Луна,"Комсомольская улица, д. 65А, Братск",3,,3,3.00,3,13.64,5,
